conc,ref_gap,doped_gap,gap_diff,n,reduction_pct
1.56,3.728041,2.7414365000000003,-0.9866045000000003,6,26.46442193098199
3.12,3.728041,1.975338,-1.7527030000000003,3,47.01404839699993
4.69,3.728041,1.4807691666666667,-2.2472718333333335,6,60.28023386366549
6.25,3.721795,1.6284684166666665,-2.0933265833333334,12,56.245080218908704
12.5,3.721795,0.7986296666666667,-2.9231653333333334,18,78.54181472470498
18.75,3.721795,0.3365634666666667,-3.3852315333333336,15,90.95695849269865
