concentration_pct,stability_score,mp_bandgap_reduction_pct,ehull_change_eV,recommendation
1.56,0.21445980428544065,25.786775852734177,0.0336668333333332,✗ 不推荐
3.12,0.31796410144288134,46.525771521386034,0.0633169999999996,⚠ 可考虑
4.69,0.32683449956103794,59.9142077242375,0.0908991666666665,⚠ 可考虑
6.25,0.287620426938637,55.91585228298142,0.0971238333333328,✗ 不推荐
12.5,0.15912779780003572,78.38035553149251,0.1593960000000001,✗ 不推荐
18.75,0.0,90.8889153582386,0.2072032666666672,✗ 不推荐
