conc,supercell,ref_ehull,doped_ehull_mean,diff_mean,n_configs
1.56,4x2x2,2.638971,2.6717668333333333,0.032795833333333135,6
3.12,4x2x2,2.638971,2.7014169999999997,0.062445999999999856,3
4.69,4x2x2,2.638971,2.7289991666666666,0.09002816666666653,6
6.25,2x2x1,2.639068,2.735223833333333,0.09615583333333337,12
12.5,2x2x1,2.639068,2.797496,0.15842800000000004,18
18.75,2x2x1,2.639068,2.845303266666667,0.20623526666666672,15
