filename,dopant_element,n_dopant,concentration_pct,mp_gappbe_alignn,BG_reduction_MP,E_hull_change,jv_bulk_modulus_kv_alignn,total_score
LFP_Fe=Ti_x17361_n10_c1.poscar,Ti,10,1.736,2.378098666666667,35.62266738855802,0.036911333333333234,92.03824333333334,0.8133392247247355
LFP_Fe=Ti_x15625_n9_c1.poscar,Ti,9,1.562,2.5235480000000003,31.68521927449918,0.03332666666666647,92.009341,0.7096348301742804
LFP_Fe=Ti_x13889_n8_c1.poscar,Ti,8,1.389,2.6379273333333333,28.58886482584371,0.029396666666666498,91.98144533333334,0.6374763399917687
LFP_Fe=Cu_x17361_n10_c1.poscar,Cu,10,1.736,2.4468673333333335,33.761035914094926,0.04356666666666647,91.77888766666668,0.553394473222154
LFP_Fe=Ti_x12153_n7_c1.poscar,Ti,7,1.215,2.7680283333333335,25.066910304999094,0.025915333333333235,91.95402266666667,0.5468957561014008
LFP_Fe=Cu_x15625_n9_c1.poscar,Cu,9,1.562,2.5532416666666666,30.881384226673877,0.040114999999999935,91.77366633333334,0.49432067891685433
LFP_Fe=Ti_x08681_n5_c2.poscar,Ti,5,0.868,2.946358,20.239361126150513,0.0195439999999997,91.90197,0.43279413456954685
LFP_Fe=Ti_x10417_n6_c1.poscar,Ti,6,1.042,2.9277656666666663,20.74267280274319,0.022265666666666368,91.92747233333334,0.43247817913276115
LFP_Fe=Cu_x13889_n8_c1.poscar,Cu,8,1.389,2.699355666666667,26.925942970582927,0.0354793333333332,91.77382666666666,0.4156602280923983
LFP_Fe=Cu_x12153_n7_c1.poscar,Cu,7,1.215,2.7784146666666665,24.785742645731816,0.0306023333333332,91.77032966666667,0.3967902469113582
LFP_Fe=Cu_x10417_n6_c2.poscar,Cu,6,1.042,2.9084205,21.266364374661617,0.0269384999999999,91.77043900000001,0.3218328187964091
LFP_Fe=Mn_x12153_n7_c1.poscar,Mn,7,1.215,2.835441,23.241987005955597,0.04371533333333303,91.649015,0.1458491984960655
LFP_Fe=Mn_x10417_n6_c1.poscar,Mn,6,1.042,2.925033,20.816648619382782,0.0379229999999997,91.665306,0.137308109261469
LFP_Fe=Mn_x13889_n8_c1.poscar,Mn,8,1.389,2.7985930000000003,24.23949648077964,0.0474566666666665,91.63270333333332,0.13001546242384632
