filename,jv_form_energy,mp_form_energy
Li7Cu1_FePO4_2x2x2.poscar,-2.0006,-2.4664
Li7Mg1_FePO4_2x2x2.poscar,-2.0829,-2.5533
LiFePO4_2x2x2_ref.poscar,-2.0698,-2.5322
